-1.671,-0.851,1.126
-1.662,-0.858,1.12
-1.655,-0.865,1.116
-1.653,-0.875,1.118
-1.651,-0.885,1.12
-1.651,-0.895,1.124
-1.659,-0.91,1.138
-1.659,-0.921,1.142
-1.662,-0.933,1.15
-1.659,-0.943,1.152
-1.658,-0.954,1.156
-1.663,-0.967,1.166
-1.662,-0.978,1.17
-1.659,-0.988,1.172
-1.661,-1.001,1.18
-1.661,-1.013,1.186
-1.661,-1.025,1.192
-1.661,-1.037,1.198
-1.661,-1.049,1.204
-1.661,-1.061,1.21
-1.664,-1.076,1.22
-1.663,-1.088,1.226
-1.661,-1.099,1.23
-1.664,-1.113,1.24
-1.663,-1.126,1.246
-1.663,-1.139,1.254
-1.661,-1.151,1.258
-1.658,-1.162,1.262
-1.693,-1.259,1.348
-1.686,-1.268,1.348
-1.676,-1.29,1.354
-1.669,-1.299,1.354
-1.67,-1.316,1.366
-1.669,-1.33,1.374
-1.667,-1.345,1.382
-1.672,-1.366,1.4
-1.67,-1.38,1.408
-1.674,-1.4,1.424
-1.673,-1.416,1.434
-1.671,-1.432,1.444
-1.675,-1.454,1.462
-1.674,-1.47,1.472
-1.672,-1.486,1.482
-1.677,-1.509,1.502
-1.676,-1.527,1.514
-1.673,-1.544,1.524
-1.682,-1.573,1.552
-1.679,-1.59,1.562
-1.677,-1.608,1.574
-1.684,-1.636,1.6
-1.681,-1.655,1.612
-1.678,-1.673,1.624
-1.686,-1.704,1.652
-1.682,-1.722,1.664
-1.68,-1.742,1.678
-1.686,-1.773,1.706
-1.683,-1.793,1.72
-1.69,-1.828,1.752
-1.687,-1.848,1.766
-1.686,-1.874,1.786
-1.684,-1.898,1.804
-1.689,-1.931,1.834
-1.692,-1.963,1.862
-1.699,-2.002,1.898
-1.715,-2.056,1.952
-1.722,-2.097,1.99
-1.754,-2.179,2.076
-1.69,-2.362,2.2
-1.674,-2.371,2.2
-1.677,-2.419,2.244
-1.68,-2.468,2.288
-1.706,-2.562,2.384
-1.705,-2.607,2.424
-1.697,-2.638,2.448
-1.71,-2.716,2.524
-1.704,-2.755,2.556
-1.699,-2.797,2.592
-1.712,-2.883,2.676
